config,semilla,n,RMSE_paquete,RMSE_propia,MAE_paquete,MAE_propia,R2_log_paquete,R2_log_propia,dif_RMSE,r_pearson,rho_spearman,dif_media_USD,dif_abs_mediana_USD,wilcoxon_p,t_pareado_p,dentro_del_rango_de_semillas
paquete,42,1011,105.843,101.219,53.187,48.65,0.7768,0.8043,4.624,0.9879,0.9853,0.36,8.75,0.0,0.00596,False
tesis,42,1011,106.722,101.219,51.376,48.65,0.7898,0.8043,5.503,0.9917,0.9906,-1.99,6.53,9e-05,0.00013,False
