frente_m,log_area,area_const_m2,pendiente_grados,predio_join
False,False,False,False,38930
False,False,False,False,38953
False,False,False,False,39133
False,False,False,False,39148
False,False,False,False,39182
False,False,False,False,39193
False,False,False,False,39219
False,False,False,False,39240
False,False,False,False,39472
False,False,False,False,39775
False,False,False,False,39814
False,False,False,False,39818
False,False,False,False,39888
False,False,False,False,39926
False,False,False,False,40107
False,False,False,False,40156
False,False,False,False,40207
False,False,False,False,40578
False,False,False,False,40583
False,False,False,False,40595
False,False,False,False,41029
False,False,False,False,41336
False,False,False,False,41351
False,False,False,False,41549
False,False,False,False,41752
False,False,False,False,41898
False,False,False,False,41927
False,False,False,False,42024
False,False,False,False,42045
False,False,False,False,42082
False,False,False,False,42242
False,False,False,False,42244
False,False,False,False,42589
False,False,False,False,43059
False,False,False,False,43099
False,False,False,False,43152
False,False,False,False,43275
False,False,False,False,43287
False,False,False,False,43433
False,False,False,False,43498
False,False,False,False,43534
False,False,False,False,43560
False,False,False,False,43564
False,False,False,False,43970
False,False,False,False,43974
False,False,False,False,44033
False,False,False,False,44035
False,False,False,False,44478
False,False,False,False,44523
True,True,True,False,44626
False,False,False,False,44752
False,False,False,False,44909
False,False,False,False,45043
False,False,False,False,45221
False,False,False,False,45270
True,True,True,True,45302
True,True,True,False,45320
False,False,False,False,45340
False,False,False,False,45443
False,False,False,False,45714
False,False,False,False,45736
False,False,False,False,45826
False,False,False,False,45876
False,False,False,False,45891
False,False,False,False,46027
False,False,False,False,46246
True,True,True,False,46481
False,False,False,False,46763
False,False,False,False,46793
False,False,False,False,46852
False,False,False,False,47610
False,False,False,False,47770
False,False,False,False,47787
False,False,False,False,48024
False,False,False,False,48230
False,False,False,False,48347
False,False,False,False,48350
False,False,False,False,48391
False,False,False,False,48538
False,False,False,False,48572
False,False,False,False,48612
False,False,False,False,48729
False,False,False,False,48812
False,False,False,False,48828
False,False,False,False,49150
False,False,False,False,49271
False,False,False,False,49550
False,False,False,False,49821
False,False,False,False,50008
False,False,False,False,50192
False,False,False,False,50244
False,False,False,False,50431
False,False,False,False,50562
False,False,False,False,50602
False,False,False,False,50653
False,False,False,False,50773
True,True,True,False,50843
True,True,True,False,50844
False,False,False,False,50875
False,False,False,False,51087
False,False,False,False,51229
True,True,True,False,51359
False,False,False,False,51571
True,True,True,False,51741
False,False,False,False,51904
False,False,False,False,52220
False,False,False,False,52227
False,False,False,False,52381
False,False,False,False,52469
False,False,False,False,52563
False,False,False,False,52773
False,False,False,False,52834
False,False,False,False,52844
False,False,False,False,53262
False,False,False,False,53267
False,False,False,False,53272
False,False,False,False,53334
False,False,False,False,53368
False,False,False,False,53657
True,True,True,False,53734
False,False,False,False,53787
False,False,False,False,53896
False,False,False,False,53913
False,False,False,False,54070
False,False,False,False,54108
False,False,False,False,54429
False,False,False,False,54435
False,False,False,False,54478
False,False,False,False,54599
False,False,False,False,54936
False,False,False,False,55098
False,False,False,False,55136
False,False,False,False,55139
False,False,False,False,55183
False,False,False,False,55225
False,False,False,False,55584
False,False,False,False,55752
False,False,False,False,55787
False,False,False,False,56054
False,False,False,False,56240
False,False,False,False,56300
False,False,False,False,56455
False,False,False,False,56502
False,False,False,False,56517
False,False,False,False,56561
False,False,False,False,56709
False,False,False,False,56889
False,False,False,False,56905
True,True,True,True,57144
False,False,False,False,57209
False,False,False,False,57273
False,False,False,False,57408
False,False,False,False,57419
False,False,False,False,57461
False,False,False,False,57644
False,False,False,False,57681
False,False,False,False,57899
False,False,False,False,57955
False,False,False,False,58082
False,False,False,False,58264
False,False,False,False,58927
False,False,False,False,58934
False,False,False,False,59087
False,False,False,False,59095
False,False,False,False,59281
False,False,False,False,59425
False,False,False,False,59484
False,False,False,False,59573
False,False,False,False,59663
True,True,True,False,59738
False,False,False,False,60071
False,False,False,False,60207
False,False,False,False,60243
False,False,False,False,60297
False,False,False,False,60372
True,True,True,False,60395
False,False,False,False,60649
True,True,True,False,60879
False,False,False,False,60916
False,False,False,False,61413
False,False,False,False,61494
False,False,False,False,61855
False,False,False,False,61870
False,False,False,False,62146
False,False,False,False,62182
False,False,False,False,62412
False,False,False,False,62665
False,False,False,False,62682
False,False,False,False,62723
False,False,False,False,62752
False,False,False,False,62803
False,False,False,False,62824
False,False,False,False,62856
False,False,False,False,63063
False,False,False,False,63185
False,False,False,False,63436
False,False,False,False,63504
False,False,False,False,63761
False,False,False,False,63812
False,False,False,False,63816
False,False,False,False,63882
False,False,False,False,63896
False,False,False,False,63954
False,False,False,False,64245
False,False,False,False,64373
False,False,False,False,64493
False,False,False,False,65002
False,False,False,False,65074
False,False,False,False,65102
False,False,False,False,65199
False,False,False,False,65212
False,False,False,False,65215
False,False,False,False,65242
False,False,False,False,65554
False,False,False,False,65672
False,False,False,False,65732
False,False,False,False,65870
True,True,True,False,65883
False,False,False,False,65997
False,False,False,False,66137
False,False,False,False,66527
False,False,False,False,66687
False,False,False,False,66699
False,False,False,False,66735
False,False,False,False,67305
False,False,False,False,67345
False,False,False,False,67431
False,False,False,False,67699
False,False,False,False,68012
False,False,False,False,68152
False,False,False,False,68159
False,False,False,False,68263
True,True,True,False,68657
False,False,False,False,68702
False,False,False,False,68904
False,False,False,False,68944
False,False,False,False,69216
False,False,False,False,69554
False,False,False,False,69901
False,False,False,False,69999
False,False,False,False,70046
False,False,False,False,70047
False,False,False,False,70082
False,False,False,False,70284
False,False,False,False,70316
False,False,False,False,70324
False,False,False,False,70340
False,False,False,False,70446
False,False,False,False,70448
False,False,False,False,70623
False,False,False,False,70756
False,False,False,False,70975
False,False,False,False,71068
False,False,False,False,71504
False,False,False,False,71604
False,False,False,False,71719
False,False,False,False,71720
False,False,False,False,71761
False,False,False,False,71829
False,False,False,False,71947
False,False,False,False,72191
False,False,False,False,72329
False,False,False,False,72347
False,False,False,False,72419
False,False,False,False,72969
False,False,False,False,72995
False,False,False,False,73202
False,False,False,False,73351
False,False,False,False,73438
False,False,False,False,73672
False,False,False,False,73778
False,False,False,False,73878
False,False,False,False,74023
False,False,False,False,74050
False,False,False,False,74062
False,False,False,False,74070
False,False,False,False,74661
False,False,False,False,74776
False,False,False,False,74787
False,False,False,False,74983
False,False,False,False,75013
False,False,False,False,75117
False,False,False,False,75252
False,False,False,False,75308
True,True,True,False,75394
False,False,False,False,75456
False,False,False,False,75601
False,False,False,False,75654
False,False,False,False,75774
False,False,False,False,75916
False,False,False,False,75927
False,False,False,False,76134
False,False,False,False,76431
False,False,False,False,76494
False,False,False,False,76590
False,False,False,False,76691
False,False,False,False,77110
False,False,False,False,77338
False,False,False,False,77492
False,False,False,False,77639
False,False,False,False,77683
False,False,False,False,77928
False,False,False,False,78020
False,False,False,False,78420
False,False,False,False,78564
False,False,False,False,78603
False,False,False,False,78689
False,False,False,False,78744
False,False,False,False,78749
False,False,False,False,78750
False,False,False,False,78840
False,False,False,False,78856
False,False,False,False,78899
False,False,False,False,78991
False,False,False,False,79056
False,False,False,False,79209
False,False,False,False,79219
False,False,False,False,79241
False,False,False,False,79308
False,False,False,False,79362
False,False,False,False,79523
False,False,False,False,79666
False,False,False,False,79746
False,False,False,False,80243
False,False,False,False,80391
False,False,False,False,80722
False,False,False,False,80885
False,False,False,False,80976
False,False,False,False,81088
False,False,False,False,81127
False,False,False,False,81139
False,False,False,False,81204
False,False,False,False,81706
False,False,False,False,81725
False,False,False,False,81980
False,False,False,False,82008
False,False,False,False,82269
False,False,False,False,82454
False,False,False,False,82605
