brazo,esquema,pliegue,modelo,semilla,semilla_efectiva,n_train,n_eval,segundos,rapido,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
en_fold,RandomKFold,0,RF,42,42,3232,808,4.7,False,39.8174,76.3385,20.8491,0.875,0.8603,1.003796
en_fold,RandomKFold,0,SANNWR-adaptado,42,42,3232,808,204.3,False,45.4491,81.8284,29.4734,0.8564,0.7972,1.017964
en_fold,RandomKFold,0,SANNWR-original,42,42,3232,808,130.7,False,53.5533,103.6397,34.1701,0.7697,0.7624,1.041141
en_fold,RandomKFold,1,GNNWR,42,43,3232,808,314.9,False,45.9754,84.7057,27.67,0.8531,0.8161,1.032611
en_fold,RandomKFold,1,GWR,42,43,3232,808,56.6,False,50.996,99.7201,29.5779,0.7964,0.7989,1.021889
en_fold,RandomKFold,1,OLS,42,43,3232,808,0.0,False,75.3749,135.0526,47.1877,0.6265,0.6207,1.08846
en_fold,RandomKFold,1,RF,42,43,3232,808,4.7,False,39.3048,80.061,21.3352,0.8688,0.8563,1.004531
en_fold,RandomKFold,1,SANNWR-adaptado,42,43,3232,808,313.2,False,45.967,89.8761,29.1752,0.8346,0.8055,0.99869
en_fold,RandomKFold,1,SANNWR-original,42,43,3232,808,191.3,False,44.7986,85.2707,26.4263,0.8511,0.8219,1.009593
en_fold,RandomKFold,2,GNNWR,42,44,3232,808,306.5,False,43.1398,87.9209,24.0988,0.8386,0.8344,1.018694
en_fold,RandomKFold,2,GWR,42,44,3232,808,56.4,False,47.3657,98.3127,27.4283,0.7982,0.8031,1.026447
en_fold,RandomKFold,2,OLS,42,44,3232,808,0.0,False,70.1042,137.8182,44.9283,0.6035,0.6483,1.090392
en_fold,RandomKFold,2,RF,42,44,3232,808,4.8,False,37.4997,86.3937,18.9738,0.8442,0.8641,1.004955
en_fold,RandomKFold,2,SANNWR-adaptado,42,44,3232,808,185.3,False,43.0683,89.1897,28.3102,0.8339,0.8084,1.00701
en_fold,RandomKFold,2,SANNWR-original,42,44,3232,808,245.0,False,48.024,99.5099,24.0437,0.7933,0.8091,0.993786
en_fold,RandomKFold,3,GNNWR,42,45,3232,808,307.0,False,45.0294,94.7738,22.1584,0.8273,0.8479,1.008363
en_fold,RandomKFold,3,GWR,42,45,3232,808,57.3,False,47.1393,100.9282,23.3667,0.8042,0.8345,1.025784
en_fold,RandomKFold,3,OLS,42,45,3232,808,0.0,False,76.5591,145.9554,38.3682,0.5905,0.665,1.088912
en_fold,RandomKFold,3,RF,42,45,3232,808,4.6,False,38.2161,81.3023,19.5033,0.8729,0.8663,1.004213
en_fold,RandomKFold,3,SANNWR-adaptado,42,45,3232,808,173.4,False,44.848,96.4226,21.7261,0.8213,0.8474,1.027754
en_fold,RandomKFold,3,SANNWR-original,42,45,3232,808,148.1,False,51.1577,108.6284,24.6311,0.7732,0.8119,1.029205
en_fold,RandomKFold,4,GNNWR,42,46,3232,808,220.2,False,50.8769,107.0327,22.3861,0.7954,0.8555,1.015352
en_fold,RandomKFold,4,GWR,42,46,3232,808,57.5,False,49.1255,100.1723,22.1903,0.8208,0.8606,1.028987
en_fold,RandomKFold,4,OLS,42,46,3232,808,0.0,False,76.5378,152.8245,36.3179,0.5829,0.6901,1.089944
en_fold,RandomKFold,4,RF,42,46,3232,808,4.7,False,39.8367,83.7215,17.9236,0.8748,0.8893,1.004633
en_fold,RandomKFold,4,SANNWR-adaptado,42,46,3232,808,151.1,False,48.1566,96.8135,21.6489,0.8326,0.8629,1.014631
en_fold,RandomKFold,4,SANNWR-original,42,46,3232,808,130.5,False,52.6197,107.0029,23.8277,0.7955,0.8377,0.986548
global,BloquesEspaciales,0,GNNWR,42,1042,3444,596,203.0,False,31.0049,42.0793,29.3159,0.4821,0.4771,1.032002
global,BloquesEspaciales,0,GWR,42,1042,3444,596,91.7,False,29.5363,42.6599,28.2842,0.4677,0.4864,1.025193
global,BloquesEspaciales,0,OLS,42,1042,3444,596,0.0,False,47.9187,69.2059,46.5439,-0.4008,0.0274,1.089744
global,BloquesEspaciales,0,RF,42,1042,3444,596,5.3,False,33.1513,46.7691,29.2395,0.3602,0.3896,1.003694
global,BloquesEspaciales,0,SANNWR-adaptado,42,1042,3444,596,337.5,False,32.1752,44.6577,30.5899,0.4167,0.4117,0.995848
global,BloquesEspaciales,0,SANNWR-original,42,1042,3444,596,242.0,False,34.5396,48.5307,31.7138,0.3111,0.2986,0.983629
global,BloquesEspaciales,1,GNNWR,42,1043,3278,762,189.5,False,81.7793,146.019,29.9822,0.7605,0.8572,1.0252
global,BloquesEspaciales,1,GWR,42,1043,3278,762,67.0,False,83.7365,146.1124,31.48,0.7602,0.7724,1.022087
global,BloquesEspaciales,1,OLS,42,1043,3278,762,0.0,False,108.6454,200.0976,38.5468,0.5503,0.6816,1.085573
global,BloquesEspaciales,1,RF,42,1043,3278,762,4.9,False,93.9665,169.23,32.3685,0.6784,0.793,1.003556
global,BloquesEspaciales,1,SANNWR-adaptado,42,1043,3278,762,191.9,False,78.6727,131.4162,30.7937,0.806,0.8395,0.997042
global,BloquesEspaciales,1,SANNWR-original,42,1043,3278,762,206.0,False,77.6782,127.7795,32.3597,0.8166,0.8095,1.002361
global,BloquesEspaciales,2,GNNWR,42,1044,3348,692,337.5,False,94.2652,157.366,50.7663,0.699,0.6617,1.011402
global,BloquesEspaciales,2,GWR,42,1044,3348,692,63.2,False,106.1862,169.4438,58.2721,0.6511,0.6069,1.023465
global,BloquesEspaciales,2,OLS,42,1044,3348,692,0.0,False,137.5385,214.5664,70.1443,0.4405,0.5291,1.080967
global,BloquesEspaciales,2,RF,42,1044,3348,692,4.9,False,103.6626,155.7683,50.6529,0.7051,0.639,1.002757
global,BloquesEspaciales,2,SANNWR-adaptado,42,1044,3348,692,191.3,False,98.3528,150.6307,56.8346,0.7242,0.6062,1.010333
global,BloquesEspaciales,2,SANNWR-original,42,1044,3348,692,137.1,False,106.659,168.0503,57.1907,0.6568,0.6091,0.990305
global,BloquesEspaciales,3,GNNWR,42,1045,2802,1238,264.3,False,61.5265,108.9405,30.1997,0.7189,0.4627,1.026651
global,BloquesEspaciales,3,GWR,42,1045,2802,1238,46.3,False,76.6277,134.7711,39.0388,0.5699,0.3576,1.02075
global,BloquesEspaciales,3,OLS,42,1045,2802,1238,0.0,False,78.745,143.5326,41.463,0.5121,0.5011,1.085409
global,BloquesEspaciales,3,RF,42,1045,2802,1238,4.1,False,68.554,123.1754,30.085,0.6407,0.5471,1.003806
global,BloquesEspaciales,3,SANNWR-adaptado,42,1045,2802,1238,142.0,False,70.3332,124.1773,34.8104,0.6348,0.2496,1.026767
global,BloquesEspaciales,3,SANNWR-original,42,1045,2802,1238,209.4,False,62.4246,114.9869,33.3933,0.6869,0.5263,1.0038
global,BloquesEspaciales,4,GNNWR,42,1046,3288,752,188.4,False,29.5094,41.7716,24.9657,0.5038,0.5448,1.036773
global,BloquesEspaciales,4,GWR,42,1046,3288,752,63.5,False,36.8754,49.6675,31.1367,0.2985,0.4178,1.024323
global,BloquesEspaciales,4,OLS,42,1046,3288,752,0.0,False,39.4142,51.4644,35.2874,0.2468,0.3693,1.096092
global,BloquesEspaciales,4,RF,42,1046,3288,752,4.8,False,31.0996,44.3258,25.1695,0.4412,0.4819,1.004418
global,BloquesEspaciales,4,SANNWR-adaptado,42,1046,3288,752,188.4,False,31.8845,44.9514,26.8277,0.4254,0.4773,1.011557
global,BloquesEspaciales,4,SANNWR-original,42,1046,3288,752,149.1,False,35.3904,48.3573,29.4241,0.335,0.4323,1.043688
global,ConjuntoDePrueba20,0,GNNWR,42,3042,4040,1011,209.9,False,48.3235,96.329,29.6218,0.8136,0.8081,1.025742
global,ConjuntoDePrueba20,0,GWR,42,3042,4040,1011,111.0,False,48.7899,98.1522,29.5154,0.8065,0.8062,1.026509
global,ConjuntoDePrueba20,0,OLS,42,3042,4040,1011,0.0,False,72.2946,139.0093,46.0794,0.6118,0.6494,1.089736
global,ConjuntoDePrueba20,0,RF,42,3042,4040,1011,6.1,False,37.5068,76.6382,20.329,0.882,0.854,1.004354
global,ConjuntoDePrueba20,0,SANNWR-adaptado,42,3042,4040,1011,257.5,False,45.2263,91.3871,30.341,0.8322,0.7974,1.018223
global,ConjuntoDePrueba20,0,SANNWR-original,42,3042,4040,1011,303.5,False,46.0404,90.1218,34.8686,0.8368,0.7596,0.995345
global,RandomKFold,0,GNNWR,42,42,3232,808,327.6,False,42.8861,74.4406,25.3338,0.8812,0.832,1.010778
global,RandomKFold,0,GWR,42,42,3232,808,57.3,False,45.9325,83.2079,28.8065,0.8515,0.8108,1.024777
global,RandomKFold,0,OLS,42,42,3232,808,0.0,False,74.3835,136.6263,42.614,0.5997,0.6436,1.089747
global,RandomKFold,0,RF,42,42,3232,808,4.7,False,39.8128,76.3147,20.8428,0.8751,0.8604,1.003794
global,RandomKFold,0,SANNWR-adaptado,42,42,3232,808,321.7,False,44.2092,80.1642,28.0338,0.8622,0.8048,1.014953
global,RandomKFold,0,SANNWR-original,42,42,3232,808,130.6,False,51.0755,92.3237,33.1507,0.8172,0.7773,1.015094
global,RandomKFold,1,GNNWR,42,43,3232,808,322.6,False,46.2433,86.6807,28.6184,0.8462,0.811,1.03328
global,RandomKFold,1,GWR,42,43,3232,808,56.6,False,50.9924,99.7007,29.5776,0.7965,0.7989,1.021889
global,RandomKFold,1,OLS,42,43,3232,808,0.0,False,75.3751,135.0584,47.1887,0.6265,0.6207,1.088463
global,RandomKFold,1,RF,42,43,3232,808,4.8,False,39.3246,80.1063,21.3619,0.8686,0.8561,1.004521
global,RandomKFold,1,SANNWR-adaptado,42,43,3232,808,324.2,False,46.5926,94.5842,30.0244,0.8168,0.7945,1.013371
global,RandomKFold,1,SANNWR-original,42,43,3232,808,202.0,False,44.9149,87.3518,28.538,0.8438,0.8155,1.004844
global,RandomKFold,2,GNNWR,42,44,3232,808,308.6,False,45.0798,90.9403,26.2863,0.8274,0.8166,1.015495
global,RandomKFold,2,GWR,42,44,3232,808,56.2,False,47.6195,98.9428,27.679,0.7956,0.8012,1.027
global,RandomKFold,2,OLS,42,44,3232,808,0.0,False,70.1034,137.8185,44.9269,0.6035,0.6483,1.090392
global,RandomKFold,2,RF,42,44,3232,808,4.9,False,37.4849,86.4035,18.9514,0.8442,0.8643,1.004951
global,RandomKFold,2,SANNWR-adaptado,42,44,3232,808,189.6,False,42.585,89.1738,27.5894,0.834,0.814,1.004221
global,RandomKFold,2,SANNWR-original,42,44,3232,808,263.9,False,43.6049,91.993,25.3239,0.8233,0.7986,1.018898
global,RandomKFold,3,GNNWR,42,45,3232,808,307.3,False,44.9936,94.7858,21.9239,0.8273,0.8505,1.025608
global,RandomKFold,3,GWR,42,45,3232,808,57.2,False,47.6395,101.8286,23.5368,0.8007,0.8329,1.026546
global,RandomKFold,3,OLS,42,45,3232,808,0.0,False,76.5592,145.9554,38.3684,0.5905,0.665,1.088911
global,RandomKFold,3,RF,42,45,3232,808,4.7,False,38.2254,81.2882,19.5196,0.873,0.866,1.004181
global,RandomKFold,3,SANNWR-adaptado,42,45,3232,808,225.4,False,46.318,96.1102,22.5143,0.8224,0.8444,1.008247
global,RandomKFold,3,SANNWR-original,42,45,3232,808,153.4,False,48.0368,104.0666,23.1644,0.7918,0.8261,1.036164
global,RandomKFold,4,GNNWR,42,46,3232,808,220.6,False,50.9836,105.007,22.5713,0.8031,0.8546,1.035703
global,RandomKFold,4,GWR,42,46,3232,808,56.8,False,50.3829,102.5337,22.8693,0.8123,0.8528,1.030895
global,RandomKFold,4,OLS,42,46,3232,808,0.0,False,76.5374,152.8227,36.3171,0.5829,0.6901,1.089944
global,RandomKFold,4,RF,42,46,3232,808,4.6,False,39.7826,83.6227,17.8903,0.8751,0.8897,1.004643
global,RandomKFold,4,SANNWR-adaptado,42,46,3232,808,321.8,False,48.9426,99.4268,21.475,0.8235,0.8615,1.028553
global,RandomKFold,4,SANNWR-original,42,46,3232,808,141.4,False,50.0884,101.0153,22.9599,0.8178,0.8513,1.005973
